구별,총 계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
종로구,2031,42.62640449438202,150550,139498,11052,29127,7.3410826967784795,19.34706077715045,1.3490534706077715,-667.8346838630505
용산구,3258,74.50455275843599,223433,209849,13584,39671,6.079674891354455,17.75521073431409,1.4581552411684933,162.91673599619844
성동구,4409,32.045522611560344,284258,276964,7294,50098,2.5659787939125724,17.624130191586517,1.551055731061219,983.2248066428347
광진구,3828,54.666666666666664,350925,335105,15820,57768,4.508085773313386,16.46163710194486,1.0908313742252618,39.77122909740683
동대문구,3268,52.71028037383177,360211,341987,18224,67880,5.059256935518349,18.844510578522033,0.9072460307986153,-570.7146772893639
중랑구,4512,47.11444408216498,387433,381966,5467,80250,1.4110826904264737,20.713258808619813,1.1645884578752972,525.2853933911574
성북구,4578,35.28368794326241,436901,424881,12020,81280,2.75119535089185,18.603756915182156,1.0478346353063968,322.33893451319364
강북구,3331,49.64061096136568,291372,286400,4972,69366,1.7064096756036955,23.80668012025864,1.1432121137240367,-133.45242123089838
도봉구,2378,291.1184210526316,308864,306346,2518,71572,0.8152455449647742,23.172658516369665,0.7699181516784086,-1181.5525154067973
노원구,3006,50.67669172932331,501727,497064,4663,97596,0.929389887329165,19.452012747968517,0.5991306028975917,-1602.1055375338456
은평구,5027,38.14234679857103,470185,466007,4178,95209,0.8885864074779075,20.249263587736742,1.0691536310175782,590.3812661762049
서대문구,3793,29.01360544217687,320378,305986,14392,58797,4.492193596314353,18.35238374669921,1.1839140015856269,170.84844021055414
마포구,3155,41.416405199462126,374962,363645,11317,58592,3.0181725081474924,15.62611677983369,0.8414185970845046,-763.9125671355041
양천구,4447,64.46005917159763,437774,434528,3246,77423,0.7414784797635309,17.685609469726387,1.0158209487086944,186.59262864676566
강서구,3546,64.47124304267162,567159,561386,5773,103825,1.017880347486331,18.306154006195793,0.6252214987331595,-1417.8446961273394
구로구,5003,42.90202799200228,414271,391387,22884,81360,5.523920332342838,19.63931822406106,1.2076635825341382,870.3731862397308
금천구,3169,72.50952640174198,240680,227160,13520,46198,5.617417317600133,19.194781452551105,1.3166860561741731,-19.851347942271786
영등포구,4566,21.500798296966472,397942,375148,22794,68650,5.727970407747863,17.251257720974415,1.1474033904438334,522.150309370204
동작구,3024,36.40054127198917,389576,378649,10927,71335,2.8048442409183316,18.31093291167834,0.7762285151035998,-974.3656186039798
관악구,5772,29.44606413994169,497827,481958,15869,86455,3.187653542294813,17.366474699042037,1.1594389215530696,1185.097890735421
서초구,5395,54.36337625178827,412275,407840,4435,66556,1.0757382814868717,16.14359347522891,1.308592565641865,1273.2249920924114
강남구,7721,24.89485603364607,559720,554280,5440,88662,0.9719145286929178,15.840420210105052,1.37943971985993,2797.5994841021657
송파구,4031,56.72628304821151,659661,653736,5925,110520,0.8981886150613725,16.7540600399296,0.6110714442721337,-1435.757394015458
강동구,3549,39.34040047114252,465549,461367,4182,84456,0.8982942719241154,18.141162369589452,0.7623257702196762,-862.413838065765
